instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
bq302,stackoverflow,bigquery,1,16,16,1,1.000,0.062,1,1,1,21.8,228,228,6378,2,228,1.000,0.009,1,5,,
bq303,stackoverflow,bigquery,3,16,16,3,1.000,0.188,1,1,3,35.2,228,228,6296,15,228,1.000,0.066,1,2,,
bq304,stackoverflow,bigquery,2,16,16,2,1.000,0.125,1,0,10,42.7,228,228,6404,8,228,1.000,0.035,1,6,,
bq310,stackoverflow,bigquery,2,16,16,2,1.000,0.125,1,0,8,21.1,228,228,6432,7,228,1.000,0.031,1,2,,
bq305,stackoverflow,bigquery,2,16,16,2,1.000,0.125,1,1,2,25.7,228,228,6413,,,,,,,,
bq306,stackoverflow,bigquery,3,16,16,3,1.000,0.188,1,1,4,39.9,228,228,6428,,,,,,,,
sf_bq307,STACKOVERFLOW,snowflake,2,16,16,2,1.000,0.125,1,1,2,34.8,228,228,2795,,,,,,,,
bq308,stackoverflow,bigquery,2,16,16,2,1.000,0.125,1,1,3,21.0,228,228,6402,4,228,1.000,0.018,1,3,,
bq309,stackoverflow,bigquery,4,16,16,4,1.000,0.250,1,0,7,41.1,228,228,6328,13,228,1.000,0.057,1,6,,
bq124,fhir_synthea,bigquery,3,17,17,3,1.000,0.176,1,0,15,4315.7,456,11638,19619,5,1020,0.200,0.001,0,11,,condition.id;medication_request.id;medication_request.status;patient.id
bq391,fhir_synthea,bigquery,3,17,17,3,1.000,0.176,1,0,12,266.8,456,11638,18115,,,,,,,,
bq126,the_met,bigquery,2,3,3,2,1.000,0.667,1,1,2,228.4,61,140,2414,10,110,1.000,0.091,1,0,,
bq366,the_met,bigquery,2,3,3,2,1.000,0.667,1,1,2,15.0,61,140,2250,4,110,1.000,0.036,1,3,,
bq414,the_met,bigquery,2,3,3,2,1.000,0.667,1,1,2,21.0,61,140,2410,5,110,1.000,0.045,1,3,,
bq200,mlb,bigquery,2,3,3,2,1.000,0.667,1,1,2,285.0,306,306,3815,,,,,,,,
sf_bq458,WORD_VECTORS_US,snowflake,3,3,3,3,1.000,1.000,1,1,3,237.6,19,19,1013,,,,,,,,
