instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq172,cms_data,bigquery,1,14,38,1,1.000,0.071,1,1,2,34.4,
bq177,cms_data,bigquery,2,12,38,2,1.000,0.167,1,1,5,37.3,
bq354,cms_data,bigquery,5,20,38,5,1.000,0.250,1,0,18,47.8,
bq355,cms_data,bigquery,4,4,38,0,0.000,0.000,0,0,33,35.0,bigquery-public-data.cms_synthetic_patient_data_omop.concept;bigquery-public-data.cms_synthetic_patient_data_omop.concept_ancestor;bigquery-public-data.cms_synthetic_patient_data_omop.drug_exposure;bigquery-public-data.cms_synthetic_patient_data_omop.person
bq032,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,141.9,
bq119,noaa_data,bigquery,1,17,33,1,1.000,0.059,1,1,1,116.5,
sf_bq117,NOAA_DATA,snowflake,1,12,33,1,1.000,0.083,1,1,1,64.5,
bq419,noaa_data,bigquery,1,13,33,1,1.000,0.077,1,1,1,83.3,
sf_bq071,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,5,180.4,
sf_bq236,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,5,142.9,
bq356,noaa_data,bigquery,2,11,33,2,1.000,0.182,1,0,9,88.0,
bq042,noaa_data,bigquery,1,16,33,1,1.000,0.062,1,1,5,124.3,
bq394,noaa_data,bigquery,1,8,33,1,1.000,0.125,1,1,2,55.7,
bq357,noaa_data,bigquery,1,15,33,1,1.000,0.067,1,1,2,59.2,
bq181,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,9,60.4,
bq045,noaa_data,bigquery,2,14,33,2,1.000,0.143,1,1,4,64.3,
sf_bq358,NEW_YORK_CITIBIKE_1,snowflake,3,12,21,3,1.000,0.250,1,1,4,52.2,
bq290,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,8,78.6,
bq031,noaa_data,bigquery,2,11,33,1,0.500,0.091,0,0,27,76.5,bigquery-public-data.noaa_gsod.stations
