instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_ga010,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,13.6,2116,23,939,,,,,,,,
sf_ga014,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,13.4,2116,23,939,,,,,,,,
sf_ga011,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.8,2116,23,939,,,,,,,,
sf_ga012,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.2,2116,23,939,,,,,,,,
sf_ga019,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,6.6,2148,20,347,,,,,,,,
sf_ga030,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,13.5,2148,20,347,,,,,,,,
sf_ga005,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,14.8,2148,20,347,,,,,,,,
sf_ga028,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,14.0,2148,20,347,,,,,,,,
sf_ga020,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,13.4,2148,20,347,,,,,,,,
sf_ga021,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,13.2,2148,20,347,,,,,,,,
sf_ga022,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,13.1,2148,20,347,,,,,,,,
sf_ga025,FIREBASE,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.6,2148,20,347,,,,,,,,
sf_local002,E_COMMERCE,snowflake,4,11,11,4,1.000,0.364,1,0,11,7.4,70,70,3922,,,,,,,,
sf_local003,E_COMMERCE,snowflake,3,11,11,3,1.000,0.273,1,1,4,19.6,70,70,4719,8,70,1.000,0.114,1,11,,
sf_local004,E_COMMERCE,snowflake,3,11,11,3,1.000,0.273,1,1,3,7.3,70,70,4637,7,70,1.000,0.100,1,2,,
sf_local007,BASEBALL,snowflake,1,2,2,1,1.000,0.500,1,1,1,8.4,46,46,1068,,,,,,,,
sf_local008,BASEBALL,snowflake,2,2,2,2,1.000,1.000,1,1,2,6.9,46,46,1068,,,,,,,,
sf_local009,AIRLINES,snowflake,2,8,8,2,1.000,0.250,1,1,2,15.1,35,35,2074,6,35,1.000,0.171,1,7,,
sf_local010,AIRLINES,snowflake,2,8,8,2,1.000,0.250,1,1,2,13.9,35,35,2196,6,35,1.000,0.171,1,10,,
sf_local015,CALIFORNIA_TRAFFIC_COLLISION,snowflake,2,4,4,2,1.000,0.500,1,1,2,11.6,120,120,2345,7,105,1.000,0.067,1,3,,
sf_local017,CALIFORNIA_TRAFFIC_COLLISION,snowflake,1,4,4,1,1.000,0.250,1,1,3,9.1,120,120,2637,,,,,,,,
sf_local018,CALIFORNIA_TRAFFIC_COLLISION,snowflake,1,4,4,1,1.000,0.250,1,1,1,8.2,120,120,2117,,,,,,,,
sf_local019,WWE,snowflake,7,10,10,7,1.000,0.700,1,0,9,8.1,35,35,1336,10,35,1.000,0.286,1,0,,
sf_local026,IPL,snowflake,4,8,8,4,1.000,0.500,1,0,7,6.8,52,52,1215,17,52,1.000,0.327,1,3,,
sf_local020,IPL,snowflake,5,8,8,5,1.000,0.625,1,0,7,4.9,52,52,1283,,,,,,,,
sf_local021,IPL,snowflake,2,8,8,2,1.000,0.250,1,1,3,5.3,52,52,1231,,,,,,,,
sf_local022,IPL,snowflake,5,8,8,5,1.000,0.625,1,0,7,5.6,52,52,1370,19,52,1.000,0.365,1,1,,
sf_local023,IPL,snowflake,4,8,8,4,1.000,0.500,1,1,6,5.3,52,52,1258,,,,,,,,
sf_local024,IPL,snowflake,3,8,8,3,1.000,0.375,1,1,6,5.4,52,52,1258,,,,,,,,
sf_local025,IPL,snowflake,4,8,8,4,1.000,0.500,1,0,7,5.8,52,52,1235,,,,,,,,
sf_local028,BRAZILIAN_E_COMMERCE,snowflake,1,10,10,1,1.000,0.100,1,1,1,7.0,62,62,4129,2,62,1.000,0.032,1,3,,
sf_local031,BRAZILIAN_E_COMMERCE,snowflake,1,10,10,1,1.000,0.100,1,1,1,5.3,62,62,4129,,,,,,,,
