instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_244,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.7,keyphrase;venue
q_245,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,5.3,keyphrase;venue
q_246,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.6,keyphrase;venue
q_247,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.6,keyphrase;venue
q_248,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.5,keyphrase;venue
q_249,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.8,keyphrase;venue
q_250,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.8,keyphrase;venue
q_251,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.7,keyphrase;venue
q_252,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.6,keyphrase;venue
q_253,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.6,keyphrase;venue
q_254,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.5,keyphrase;venue
q_255,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.6,keyphrase;venue
q_256,scholar,4,4,10,2,0.500,0.500,0,0,3,1,9,5.3,author;writes
q_257,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.4,author;keyphrase;paper;paperkeyphrase;writes
q_258,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.6,author;keyphrase;writes
q_259,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.7,author;keyphrase;writes
q_260,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.7,keyphrase;venue
q_261,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.7,keyphrase;venue
q_262,scholar,4,4,10,2,0.500,0.500,0,0,3,1,8,4.7,keyphrase;venue
q_263,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.6,author;keyphrase;writes
q_264,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_265,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.7,author;keyphrase;writes
q_266,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.7,author;keyphrase;writes
q_267,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.8,author;keyphrase;writes
q_268,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.8,author;keyphrase;writes
q_269,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.7,author;keyphrase;writes
q_270,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.7,author;keyphrase;writes
q_271,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.8,author;keyphrase;writes
q_272,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,5.0,author;keyphrase;writes
q_273,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.6,author;keyphrase;writes
q_274,scholar,5,4,10,2,0.400,0.500,0,0,4,1,7,4.7,author;keyphrase;writes
