instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_bq184,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,14.9,497,497,18332,,,,,,,,
sf_bq195,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,9,11.4,497,497,18832,,,,,,,,
sf_bq256,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,10,14.6,497,497,18822,,,,,,,,
sf_bq080,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,16.7,497,497,17848,,,,,,,,
sf_bq342,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,15.4,497,497,18242,,,,,,,,
sf_bq341,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,12.7,497,497,17748,4,282,1.000,0.014,1,2,,
sf_bq444,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,30.7,497,497,16262,7,247,1.000,0.028,1,0,,
sf_bq340,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,13.7,497,497,16856,,,,,,,,
sf_bq005,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,14.6,497,497,17235,,,,,,,,
sf_bq334,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,7,16.7,497,497,19346,8,307,1.000,0.026,1,5,,
sf_bq335,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,0,7,14.5,497,497,18290,,,,,,,,
sf_bq057,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,17.4,497,497,19020,8,313,1.000,0.026,1,14,,
sf_bq068,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,15.6,497,497,17902,3,283,1.000,0.011,1,6,,
sf_bq092,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,0,15,16.7,497,497,17548,,,,,,,,
sf_bq093,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,13,16.6,497,497,18462,15,319,1.000,0.047,1,2,,
sf_bq292,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,16.2,497,497,18983,,,,,,,,
sf_bq135,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,1,5,11.0,497,497,18662,,,,,,,,
sf_bq136,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,1,3,18.2,497,497,16943,,,,,,,,
sf_bq065,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,14.9,497,497,16020,,,,,,,,
sf_bq037,HUMAN_GENOME_VARIANTS,snowflake,1,8,8,1,1.000,0.125,1,1,1,16.4,202,202,7224,2,200,1.000,0.010,1,5,,
sf_bq012,ETHEREUM_BLOCKCHAIN,snowflake,3,7,7,3,1.000,0.429,1,1,4,9.8,88,88,6557,13,88,1.000,0.148,1,2,,
sf_bq187,ETHEREUM_BLOCKCHAIN,snowflake,2,7,7,2,1.000,0.286,1,1,2,7.8,88,88,6561,6,88,1.000,0.068,1,4,,
sf_bq450,ETHEREUM_BLOCKCHAIN,snowflake,5,7,7,5,1.000,0.714,1,1,5,23.1,88,88,6564,,,,,,,,
bq034,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,1,7.4,2141,37,1136,5,37,1.000,0.135,1,3,,
bq383,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,2,6.9,2141,37,1136,5,37,1.000,0.135,1,4,,
bq051,new_york_ghcn,bigquery,3,14,14,3,1.000,0.214,1,0,10,21.6,2624,289,7757,,,,,,,,
