instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_155,tracking_orders,4,7,7,4,1.000,0.571,1,1,0,0,4,4.4,
q_156,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,6.4,
q_157,geo,3,7,7,3,1.000,0.429,1,1,0,0,3,6.0,
q_158,geo,3,7,7,3,1.000,0.429,1,0,1,1,7,5.5,
q_159,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.6,
q_160,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,6.6,
q_161,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,6.3,
q_162,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.6,
q_163,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.6,
q_164,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.5,
q_165,geo,2,7,7,2,1.000,0.286,1,1,0,0,3,5.5,
q_166,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.8,
q_167,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,6.0,
q_168,geo,2,7,7,2,1.000,0.286,1,0,1,1,7,5.9,
q_169,geo,2,7,7,2,1.000,0.286,1,0,1,1,7,5.7,
q_170,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,4.8,
q_171,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,6.1,
q_172,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.3,
q_173,geo,2,7,7,2,1.000,0.286,1,1,0,0,3,5.4,
q_174,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.3,
q_175,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.5,
q_176,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.5,
q_177,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,8.0,
q_178,geo,2,7,7,2,1.000,0.286,1,1,0,0,2,5.8,
q_179,geo,3,7,7,3,1.000,0.429,1,1,0,0,3,6.0,
q_180,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,4.7,
q_181,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.8,
q_182,scholar,2,8,10,2,1.000,0.250,1,1,0,0,3,4.0,
q_183,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.8,
q_184,scholar,2,8,10,2,1.000,0.250,1,0,1,1,6,4.1,
q_185,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.7,
q_186,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.7,
q_187,scholar,2,8,10,2,1.000,0.250,1,1,0,0,3,4.0,
q_188,scholar,2,8,10,2,1.000,0.250,1,1,0,0,3,4.0,
q_189,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.8,
q_190,scholar,2,8,10,2,1.000,0.250,1,1,0,0,3,3.9,
q_191,scholar,2,0,10,0,0.000,0.000,0,0,2,0,,0.4,author;writes
q_192,scholar,2,0,10,0,0.000,0.000,0,0,2,0,,0.4,author;writes
q_193,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.9,
q_194,scholar,2,8,10,2,1.000,0.250,1,1,0,0,3,4.0,
q_195,scholar,2,0,10,0,0.000,0.000,0,0,2,0,,0.5,author;writes
q_196,scholar,2,8,10,2,1.000,0.250,1,1,0,0,3,4.1,
q_197,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.9,
q_198,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.8,
q_199,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.7,
q_200,scholar,2,8,10,2,1.000,0.250,1,0,2,2,6,3.8,
q_201,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.6,
q_202,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.8,
q_203,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.3,keyphrase;paper;paperkeyphrase;writes
q_204,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.6,
q_205,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.3,keyphrase;paper;paperkeyphrase;writes
q_206,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.6,
q_207,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.8,
q_208,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.9,
q_209,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.8,
q_210,scholar,4,0,10,0,0.000,0.000,0,0,4,0,,0.3,keyphrase;paper;paperkeyphrase;writes
q_211,scholar,4,8,10,4,1.000,0.500,1,0,2,2,7,3.6,
q_212,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.9,
q_213,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.8,
q_214,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.9,
q_215,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.7,
q_216,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.9,
q_217,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.8,
q_218,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.7,
q_219,scholar,4,8,10,4,1.000,0.500,1,0,3,3,8,3.6,
q_220,scholar,3,8,10,3,1.000,0.375,1,0,1,1,8,3.8,
q_221,scholar,3,8,10,3,1.000,0.375,1,0,1,1,8,4.1,
q_222,scholar,3,8,10,3,1.000,0.375,1,0,1,1,8,4.0,
q_223,scholar,3,8,10,3,1.000,0.375,1,0,1,1,8,4.1,
q_224,scholar,4,8,10,3,0.750,0.375,0,0,1,0,9,4.1,venue
q_225,scholar,4,8,10,3,0.750,0.375,0,0,1,0,9,4.0,venue
q_226,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.6,
q_227,scholar,5,8,10,5,1.000,0.625,1,0,2,2,8,3.7,
q_228,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.6,
q_229,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_230,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_231,scholar,5,8,10,5,1.000,0.625,1,0,2,2,8,3.8,
q_232,scholar,5,8,10,5,1.000,0.625,1,0,2,2,8,3.9,
q_233,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_234,scholar,5,7,10,4,0.800,0.571,0,0,2,1,8,4.1,keyphrase
q_235,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_236,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.6,
q_237,scholar,5,8,10,5,1.000,0.625,1,0,2,2,8,3.7,
q_238,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_239,scholar,4,8,10,4,1.000,0.500,1,0,3,3,7,3.9,
q_240,scholar,4,8,10,4,1.000,0.500,1,0,3,3,7,3.6,
q_241,scholar,4,8,10,4,1.000,0.500,1,0,3,3,7,3.8,
q_242,scholar,4,8,10,4,1.000,0.500,1,0,3,3,7,3.6,
q_243,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.6,
q_244,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.6,
q_245,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,4.3,
q_246,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.5,
q_247,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.5,
q_248,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.4,
q_249,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.6,
q_250,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.5,
q_251,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.5,
q_252,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.4,
q_253,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.6,
q_254,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.4,
q_255,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.5,
q_256,scholar,4,8,10,3,0.750,0.375,0,0,2,1,9,3.9,author
q_257,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_258,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.5,
q_259,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.4,
q_260,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.6,
q_261,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.5,
q_262,scholar,4,8,10,4,1.000,0.500,1,0,2,2,8,3.5,
q_263,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.5,
q_264,scholar,5,0,10,0,0.000,0.000,0,0,5,0,,0.3,author;keyphrase;paper;paperkeyphrase;writes
q_265,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.6,
q_266,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.6,
q_267,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.7,
q_268,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,3.8,
q_269,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,4.0,
q_270,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,4.0,
q_271,scholar,5,8,10,5,1.000,0.625,1,0,3,3,7,4.0,
